H/V,260,320,380,440,500,560,620,680,740,800,860
400,0,1.44647,2.88492,4.32999,5.79235,7.27855,8.7954,10.3504,11.9518,13.6095,15.335
970,0,58.4465,59.8849,61.33,62.7924,64.2786,65.7954,67.3504,68.9518,70.6095,72.335
1540,0,115.446,116.885,118.33,119.792,121.279,122.795,124.35,125.952,127.61,129.335
2110,0,172.446,173.885,175.33,176.792,178.279,179.795,181.35,182.952,184.61,186.335
2680,0,229.446,230.885,232.33,233.792,235.279,236.795,238.35,239.952,241.61,243.335
3250,0,286.446,287.885,289.33,290.792,292.279,293.795,295.35,296.952,298.61,300.335
3820,0,343.446,344.885,346.33,347.792,349.279,350.795,352.35,353.952,355.61,357.335
4390,0,400.446,401.885,403.33,404.792,406.279,407.795,409.35,410.952,412.61,414.335
4960,0,457.446,458.885,460.33,461.792,463.279,464.795,466.35,467.952,469.61,471.335
5530,0,514.446,515.885,517.33,518.792,520.279,521.795,523.35,524.952,526.61,528.335
6100,0,571.446,572.885,574.33,575.792,577.279,578.795,580.35,581.952,583.61,585.335
