H/V,260,320,380,440,500,560,620,680,740,800,860
400,0,1.79618,3.58728,5.39506,7.23622,9.12165,11.0633,13.0748,15.1725,17.3761,19.7103
970,0,89.4885,91.364,93.2532,95.1762,97.1442,99.1695,101.266,103.451,105.743,108.168
1540,0,177.181,179.132,181.093,183.087,185.126,187.223,189.391,191.647,194.011,196.508
2110,0,264.873,266.897,268.926,270.987,273.092,275.253,277.486,279.805,282.23,284.785
2680,0,352.565,354.661,356.759,358.884,361.052,363.275,365.567,367.944,370.424,373.029
3250,0,440.258,442.426,444.593,446.783,449.014,451.299,453.651,456.085,458.62,461.278
3820,0,527.95,530.193,532.431,534.687,536.983,539.332,541.746,544.242,546.836,549.55
4390,0,615.642,617.962,620.273,622.595,624.956,627.368,629.844,632.4,635.051,637.818
4960,0,703.335,705.734,708.119,710.511,712.937,715.413,717.95,720.564,723.269,726.087
5530,0,791.027,793.509,795.972,798.438,800.932,803.473,806.074,808.748,811.512,814.383
6100,0,878.719,881.289,883.833,886.375,888.938,891.546,894.212,896.947,899.769,902.694
